rho,psnr,ssim,k_r,k_g,k_b
80,34.44477469085318,0.9014577059014721,69,58,67
90,35.30529576472378,0.9127301015664421,77,64,75
95,35.79035283308194,0.9182437192963374,82,68,79
99,36.06585518352061,0.9212948464534447,85,70,82
