block_var,entropy,decay_rate,aspect,mean_intensity,std_dev,energy_top5,max_block_var,best_algorithm
3506.1980209350586,5.358715683770849,0.11516800756001232,0.6640625,122.81534926470589,55.22547369237436,0.9683846936118404,6534.038513183594,svd
3812.473649597168,5.315589743870935,0.08678269772052646,0.6640625,90.87821691176471,57.22550339431154,0.8774898498155808,4426.467712402344,svd
2115.9509887695312,5.140094560364148,0.11625274372930657,0.75,134.011962890625,43.46173376144475,0.9756137098699542,3389.6918334960938,svd
3536.505548477173,5.349697661289294,0.11803933708740283,0.5859375,135.7234375,60.712665762729664,0.9690846173769788,4275.069442749023,svd
3767.548169453939,5.405486889298794,0.13458932275974173,0.75,143.88777669270834,61.82998036296396,0.9759667719841431,6488.877914428711,svd
2859.7065338134767,5.306291958444535,0.1393876531835105,0.6640625,117.26672794117647,57.06291512599039,0.9741855569717219,3415.5870208740234,svd
2250.5940952301025,5.137666611992964,0.11463894138736605,0.546875,91.30580357142857,44.26400870141066,0.9703090808232783,4092.6708984375,svd
3271.5252319335937,5.22378738696672,0.12166218863770427,0.6640625,86.98189338235294,52.235791264823035,0.9644927174011003,6785.551620483398,svd
1999.9795989990234,5.206199356854553,0.13292285403375068,0.6640625,119.06066176470588,46.70029990617591,0.9822857966359176,3302.819564819336,svd
1469.34476852417,4.934622056176123,0.13119930867636598,0.75,118.812744140625,37.25233551065406,0.9808726192666035,3142.0243530273438,svd
2916.6677978515627,5.06902887845874,0.13057852342623882,0.6640625,72.07288602941176,53.68752628002051,0.9656392582527155,4563.995956420898,svd
3905.669054667155,5.294627676669335,0.1376912055135131,0.75,112.187744140625,56.18478704914216,0.9739228070120544,5223.767333984375,svd
4382.737965393067,5.382407418816168,0.12450991146393234,0.7109375,118.32606456043956,77.20043219667215,0.9593053995528502,6167.252304077148,svd
1770.8187469482423,4.224439908311499,0.12282754569528996,0.6640625,83.37647058823529,31.507004905758468,0.9825832401560685,3333.046875,svd
2915.147019958496,5.089880630422614,0.10608139225517961,0.6640625,91.75422794117647,46.37991571132077,0.9561531770022957,4948.032165527344,svd
2323.1042907714846,5.138388270251491,0.12970620924842455,0.6640625,134.49604779411766,53.106053567898826,0.9884056036243776,3059.396957397461,svd
2546.8144658406577,5.032470792376337,0.1264645740459642,0.75,123.6171875,47.79593194864856,0.9816764612669538,6426.978866577148,svd
3630.285673777262,5.433997964073777,0.12439565687673834,0.75,147.43107096354166,68.02723514478728,0.97855901905884,4436.867416381836,svd
3715.071614074707,5.293778748993707,0.11732323088057305,0.6640625,110.18400735294118,54.91694566075055,0.9673437279986614,5037.989974975586,svd
3357.4169372558595,5.463789100218585,0.11511040855496511,0.6640625,133.16176470588235,71.22431509057218,0.9783396759911666,5663.222106933594,svd
3403.190901184082,5.306779571521494,0.07997415957110855,0.6640625,92.94108455882353,56.71119854138337,0.8940162609991053,3640.7991790771484,svd
2607.8078422546387,5.106046252587052,0.10266476150988871,0.78125,75.746875,44.76156613361931,0.942648050905286,4658.642562866211,svd
2164.815898132324,5.066939315672137,0.12081779048453085,0.625,138.72060546875,56.44019723988531,0.9812159241450594,2790.1953125,svd
3941.574676513672,5.234922090884858,0.11856980311950328,0.6640625,122.88207720588235,67.62189953277348,0.9678647289792041,4459.042907714844,svd
4472.580055236816,5.365055815585651,0.11045223895090578,0.6640625,120.4984375,54.52302196347138,0.9528906756511984,5297.289978027344,svd
5166.98633702596,5.30908812715219,0.14716019104483122,0.75,124.60107421875,66.61265011314333,0.9816331679244696,7192.614242553711,svd
793.9942054748535,4.193045401519589,0.11059579856243537,0.75,33.943196614583336,21.72177427841677,0.9530750114019655,1389.710922241211,svd
1482.6103897094727,4.530760896709741,0.08857251102912665,0.6640625,43.430238970588235,33.2930601475294,0.8971066489166795,2189.336410522461,svd
3732.229846191406,4.890051063032147,0.11261130440786017,0.6640625,96.95340073529412,39.860500514953976,0.9511804270040358,5378.285995483398,svd
2519.1846618652344,5.0541183285269335,0.15743917115453473,0.3984375,131.26776960784315,41.68869504476189,0.9923924798002935,3100.2816772460938,svd
3326.373513793945,5.2366400819979555,0.10534270864476959,0.6640625,83.12849264705882,52.67957590547619,0.9343969795193177,5175.384216308594,svd
4438.40968170166,5.287918014302743,0.1078424751298431,0.6640625,97.06801470588235,63.42724936677514,0.9377315820142686,6905.504821777344,svd
3902.778953552246,5.036457600418987,0.15354537515958058,0.7578125,177.83553479381445,55.93191576547289,0.9884773686340681,5829.202011108398,svd
4568.539012145996,5.310002417285076,0.1272335762979803,0.6640625,156.5358455882353,76.34952161204366,0.9779790441234043,8724.753280639648,svd
2136.2304929097495,5.1513515350271835,0.1156597599225097,1.2673267326732673,92.33415841584159,46.54354798672665,0.9598378477245618,3126.3607025146484,svd
3395.119126637777,5.1322584152891935,0.13387566796504674,0.75,147.99308268229166,63.52248157181315,0.9801564430010405,6033.162826538086,svd
2878.9877838134767,5.252424906032919,0.09754387481999913,0.6640625,86.49420955882353,51.910492495994234,0.9289062111613468,4447.148422241211,svd
3713.7707916259765,5.030086997735959,0.13931309169697054,0.6640625,91.52536764705883,58.745549736430455,0.9526871338232118,9096.403427124023,svd
4614.368511962891,3.9344116578630777,0.14179214105190616,0.6640625,63.62233455882353,65.24769770891952,0.9476338617943124,8124.413925170898,svd
2137.5958618164063,5.0346639238831,0.09288070332267799,0.6640625,71.59117647058824,40.39880189070156,0.912412539754774,2766.701156616211,svd
2301.241049194336,4.824228424973129,0.11636191860553073,0.6640625,66.06691176470588,42.54575530971999,0.9509953917624513,3810.93359375,svd
5197.721166992187,5.317140227211887,0.1368333512652402,0.6640625,159.765625,69.42567064731865,0.975060835320041,6933.220642089844,svd
3393.606455993652,1.6224993521424291,0.12073281100593612,0.6640625,31.949172794117647,42.23554931753541,0.9226736976989282,4553.698974609375,svd
2670.2646102905273,4.588993965730521,0.15241724059673603,1.5058823529411764,186.3170036764706,64.19518837790716,0.9942600111664179,5816.947494506836,svd
4587.832876586914,5.104457220107745,0.13286295302099435,0.6640625,142.8077205882353,87.14602336837827,0.9849056766340778,5481.8203125,svd
2590.339988708496,5.056822349757434,0.11645102058750528,0.6640625,134.67389705882354,90.84056562326165,0.9869596193031884,3965.331771850586,svd
4804.945082092285,5.331282305833749,0.11744269020071374,1.5058823529411764,121.47224264705882,75.27397728298901,0.947985370708384,6808.597412109375,svd
5161.642955780029,5.407593554839957,0.11386958454538978,0.75,102.34342447916667,65.06847526790227,0.9245280506281761,7026.252380371094,svd
4364.088005065918,5.339617074913826,0.0940129598727108,0.6640625,105.72224264705882,61.798179151501884,0.9206890761529171,5820.937606811523,svd
